"Kerncijfers wijken en buurten 2015"
"Onderwerpen";"Regioaanduiding";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen"
"Onderwerpen";"Codering";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; leeftijd";"Personenauto's; leeftijd";"Personenauto's; brandstoftype";"Personenauto's; brandstoftype";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; jonger dan 6 jaar";"Personenauto's; 6 jaar en ouder";"Personenauto's; brandstof benzine";"Personenauto's; overige brandstof";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Wijken en buurten";"code";"aantal";"aantal";"aantal";"aantal";"aantal";"per huishouden";"per km²";"aantal";"aantal"
"Verspreide huizen Oldekerk";"BU00150309";"300";"45";"255";"215";"85";"1.4";"15";"80";"55"
"Haren";"GM0017";"9225";"2690";"6535";"7250";"1975";"1.1";"203";"645";"570"
"Wijk 00 Centrum";"WK001700";"8180";"2390";"5790";"6495";"1685";"1.0";"590";"455";"475"
"Haren";"BU00170000";"4585";"1305";"3280";"3685";"905";"1.0";"1028";"275";"235"
"Oosterhaar";"BU00170001";"2190";"630";"1560";"1765";"425";"1.1";"1677";"90";"165"
"Voorveld";"BU00170002";"105";"40";"65";"75";"35";"1.7";"69";"5";"10"
"Harenermolen";"BU00170003";"190";"55";"135";"135";"55";"1.3";"94";"10";"10"
"Glimmen";"BU00170004";"615";"205";"415";"455";"160";"1.3";"308";"55";"40"
"Hemmen";"BU00170005";"490";"160";"335";"385";"110";"1.2";"196";"25";"20"
"Wijk 01 Land";"WK001701";"1045";"295";"745";"755";"290";"1.4";"33";"185";"95"
"Noordlaren";"BU00170100";"265";"65";"200";"190";"75";"1.5";"356";"35";"25"
"Onnen";"BU00170101";"235";"70";"165";"175";"60";"1.3";"370";"40";"15"
"Paterswolde (gedeeltelijk)";"BU00170102";"70";"30";"35";"50";"20";".";".";"5";"10"
"Essen";"BU00170103";"55";"10";"45";"45";"15";".";".";"5";"5"
"Verspr.h. ten W. van Noord-Willemskanaal";"BU00170106";"65";"20";"45";"50";"15";"1.2";"18";"5";"5"
"Verspreide huizen op de Hondsrug";"BU00170107";"180";"50";"130";"125";"50";"1.3";"29";"25";"10"
"Verspreide huizen Onner Esch";"BU00170108";"160";"40";"120";"115";"45";"1.6";"49";"70";"20"
"Verspr.h. ten oosten van de Hondsrug";"BU00170109";"15";"5";"10";"10";"10";".";".";"5";"0"
"Hoogezand-Sappemeer";"GM0018";"15885";"4005";"11880";"13165";"2720";"1.0";"238";"1525";"1265"
"Wijk 01 Foxham en Hoogezand-Noord";"WK001801";"3090";"820";"2270";"2615";"475";"0.9";"1046";"355";"205"
"Noorderpark";"BU00180101";"1355";"330";"1025";"1185";"170";"0.8";"2283";"65";"65"
"Westerpark";"BU00180102";"455";"130";"325";"385";"70";"1.0";"2005";"25";"35"
"Beukemabuurt";"BU00180103";"145";"40";"105";"130";"15";"0.9";"2625";"15";"10"
"Oosterpark";"BU00180104";"280";"75";"205";"235";"50";"1.1";"1300";"20";"20"
"Martenshoek";"BU00180105";"330";"100";"225";"280";"50";"0.9";"553";"45";"20"
"Industriegebied Martenshoek";"BU00180106";"370";"115";"255";"285";"90";"1.6";"358";"160";"45"
"Stadshart-Noord";"BU00180107";"155";"35";"125";"125";"30";"0.6";"678";"20";"5"
"Wijk 02 Hoogezand-Zuid";"WK001802";"4570";"950";"3620";"3925";"645";"0.8";"1252";"180";"295"
"Spoorstraat en Kieldiep";"BU00180201";"580";"105";"475";"475";"105";"0.7";"1997";"25";"40"
"Burgemeester van Royenstraat en omgeving";"BU00180202";"290";"55";"235";"260";"35";"0.9";"1143";"45";"30"
"Gorecht-Noord";"BU00180203";"595";"135";"465";"540";"60";"0.7";"3788";"20";"30"
"Gorechtpark";"BU00180204";"0";"0";"0";"0";"0";".";".";"0";"0"
"Gorecht-West";"BU00180205";"825";"130";"695";"685";"140";"0.8";"2022";"30";"35"
"Woldwijck-West";"BU00180206";"900";"205";"695";"755";"145";"1.1";"1497";"30";"65"
"Woldwijck-Midden";"BU00180207";"595";"130";"465";"535";"60";"0.7";"1385";"20";"35"
"Woldwijck-Oost";"BU00180208";"560";"115";"445";"480";"75";"1.0";"1045";"10";"40"
"Kropswolderpolder";"BU00180209";"0";"0";"0";"0";"0";".";".";"0";"0"
"Gorechtpark-Oost";"BU00180210";"225";"80";"145";"200";"25";"1.2";"1315";"5";"15"
"Wijk 03 Kalkwijk";"WK001803";"1655";"600";"1055";"1360";"300";"1.3";"182";"80";"100"
"Stadshart-Zuid";"BU00180301";"150";"60";"90";"135";"15";"0.8";"839";"20";"5"
"Zuiderpark";"BU00180302";"445";"135";"310";"375";"75";"1.2";"967";"20";"25"
"De Dreven";"BU00180303";"445";"215";"225";"355";"85";"1.5";"858";"10";"20"
"De Vosholen-West";"BU00180304";"500";"170";"335";"405";"95";"1.3";"1556";"15";"40"
"Kalkwijk-Zuid";"BU00180305";"115";"25";"90";"85";"25";"1.8";"16";"20";"15"
"Kalkwijk-Noord";"BU00180306";"0";"0";"0";"0";"0";".";".";"0";"0"
"Wijk 05 Kiel-Windeweer";"WK001805";"575";"105";"470";"425";"145";"1.6";"40";"115";"60"
"Kiel-Windeweer";"BU00180501";"480";"95";"385";"355";"125";"1.7";"909";"75";"45"
"Kiel-Windeweer Buiten";"BU00180502";"95";"10";"85";"75";"20";"1.2";"7";"45";"15"
"Wijk 06 Kropswolde";"WK001806";"1120";"380";"740";"835";"280";"1.6";"96";"115";"100"
"Recreatiegebied Meerwijck";"BU00180601";"105";"35";"70";"80";"25";"1.3";"39";"15";"15"
"Polder Kropswolde";"BU00180602";"95";"15";"75";"70";"25";".";".";"15";"15"
"Meerwijck";"BU00180603";"710";"270";"440";"530";"180";"1.7";"754";"30";"45"
"Polder Wolfsbarge";"BU00180604";"55";"15";"40";"50";"5";".";".";"15";"5"
"Kropswolderbuitenpolder";"BU00180605";"45";"10";"35";"30";"15";".";".";"20";"10"
"Kropswolde";"BU00180606";"115";"30";"80";"80";"35";"1.5";"602";"25";"15"
"Wijk 07 Foxhol";"WK001807";"470";"100";"370";"385";"85";"1.0";"365";"55";"45"
"Foxhol";"BU00180701";"395";"85";"310";"325";"65";"1.0";"1617";"30";"35"
"Foxholsterbosch";"BU00180702";"80";"15";"60";"60";"20";"1.3";"75";"25";"10"
"Wijk 08 Westerbroek";"WK001808";"580";"130";"445";"450";"125";"1.5";"58";"90";"100"
"Westerbroekstermolenpolder";"BU00180801";"225";"35";"190";"175";"50";"1.5";"39";"45";"55"
"Westerbroekstermadepolder";"BU00180802";"0";"0";"0";"0";"0";".";".";"0";"0"
"Industriegebied Winschoterdiep";"BU00180803";"140";"30";"110";"105";"35";"2.2";"63";"25";"20"
"Westerbroek";"BU00180804";"215";"65";"145";"170";"40";"1.3";"795";"20";"25"
"Wijk 09 Waterhuizen";"WK001809";"10";"0";"10";"10";"0";".";".";"5";"5"
"Waterhuizen";"BU00180901";"10";"0";"10";"10";"0";".";".";"5";"5"
"Wijk 11 Sappemeer";"WK001811";"3800";"910";"2890";"3150";"650";"1.1";"292";"490";"355"
"Magrietpark";"BU00181101";"830";"180";"650";"730";"100";"0.9";"1830";"40";"40"
"Sappemeer-Oost";"BU00181102";"405";"80";"325";"295";"110";"1.3";"611";"65";"45"
"Boswijck-West";"BU00181103";"545";"110";"440";"475";"75";"0.9";"2172";"35";"40"
"Boswijck-Oost";"BU00181104";"240";"55";"185";"210";"30";"1.0";"1631";"20";"20"
"Compagniesterpark";"BU00181105";"865";"230";"635";"730";"135";"1.3";"2182";"70";"100"
"De Vosholen-Oost";"BU00181106";"230";"90";"140";"195";"35";"1.4";"607";"25";"20"
"Nieuw Woelwijck";"BU00181107";"135";"40";"95";"100";"35";"1.3";"66";"35";"15"
"Polder De Nijverheid";"BU00181108";"75";"30";"45";"45";"30";".";".";"115";"10"
"Sappemeer-Noord";"BU00181109";"475";"95";"380";"370";"100";"1.4";"82";"90";"60"
"Leek";"GM0022";"9700";"2485";"7215";"7345";"2355";"1.2";"153";"1425";"915"
"Wijk 00 Leek";"WK002200";"4965";"1340";"3625";"3885";"1080";"1.1";"822";"490";"415"
"Diepswal";"BU00220001";"425";"185";"240";"290";"135";"1.6";"873";"70";"40"
"Centrum Leek en omgeving";"BU00220002";"1865";"435";"1435";"1530";"335";"1.0";"1035";"220";"170"
"Rodenburg en omgeving";"BU00220003";"1855";"450";"1410";"1460";"400";"1.0";"1227";"180";"145"
"Nienoordsrand";"BU00220004";"225";"85";"140";"170";"55";"1.5";"927";"5";"5"
"Buitengebied ten oosten van Leek";"BU00220008";"0";"0";"0";"0";"0";".";".";"0";"0"
"Buitengebied ten zuiden van Leek";"BU00220009";"595";"190";"405";"435";"160";"1.4";"697";"15";"50"
"Wijk 01 Zevenhuizen";"WK002201";"1545";"290";"1260";"1110";"435";"1.4";"69";"305";"185"
"Bebouwde kom Zevenhuizen";"BU00220100";"700";"125";"575";"525";"175";"1.2";"698";"95";"70"
"De Haspel";"BU00220101";"150";"30";"120";"110";"45";"1.7";"132";"30";"20"
"Drostinnewijk";"BU00220102";"115";"20";"90";"85";"30";"1.7";"105";"15";"20"
"Boerenstreek";"BU00220103";"55";"10";"45";"40";"15";".";".";"30";"10"
"Buitengebied ten noorden van Zevenhuizen";"BU00220107";"65";"30";"35";"40";"25";".";".";"5";"10"
"Buitengebied ten oosten van Zevenhuizen";"BU00220108";"40";"10";"30";"35";"5";"0.8";"10";"15";"10"
"Buitengebied ten westen van Zevenhuizen";"BU00220109";"420";"65";"360";"280";"140";"1.6";"29";"115";"45"
"Wijk 02 Tolbert";"WK002202";"2245";"655";"1585";"1660";"580";"1.2";"178";"350";"215"
"Bebouwde kom Tolbert";"BU00220200";"950";"285";"665";"695";"260";"1.3";"866";"150";"95"
"Sint Maheerdt";"BU00220201";"1020";"295";"725";"810";"210";"1.1";"1584";"45";"85"
"Buitengebied Tolbert";"BU00220209";"270";"75";"195";"160";"110";"1.5";"25";"155";"35"
"Wijk 04 Midwolde";"WK002204";"310";"90";"215";"200";"110";"1.9";"35";"160";"30"
"Bebouwde kom Midwolde";"BU00220400";"75";"20";"55";"50";"25";".";".";"5";"5"
"Pasop";"BU00220401";"65";"10";"55";"45";"20";".";".";"15";"15"
"Buitengebied Midwolde";"BU00220409";"170";"60";"105";"105";"65";"2.0";"25";"135";"10"
"Wijk 05 Lettelbert";"WK002205";"120";"15";"110";"95";"30";"1.8";"20";"20";"10"
"Bebouwde kom Lettelbert";"BU00220500";"85";"10";"75";"65";"20";".";".";"15";"10"
"Buitengebied Lettelbert";"BU00220509";"35";"5";"35";"25";"10";".";".";"5";"0"
"Wijk 06 Oostwold";"WK002206";"355";"70";"285";"280";"75";"1.3";"87";"60";"35"
"Bebouwde kom Oostwold";"BU00220600";"320";"65";"260";"255";"65";"1.4";"477";"45";"30"
"Buitengebied-Oostwold";"BU00220609";"35";"5";"30";"25";"10";".";".";"15";"5"
"Wijk 07 Enumatil";"WK002207";"155";"25";"130";"115";"40";"1.2";"48";"30";"30"
"Bebouwde kom Enumatil";"BU00220700";"125";"20";"105";"95";"30";"1.2";"712";"25";"25"
"Buitengebied Enumatil";"BU00220709";"30";"5";"25";"20";"15";".";".";"5";"5"
"Loppersum";"GM0024";"5070";"1085";"3990";"3850";"1220";"1.2";"46";"780";"740"
"Wijk 00";"WK002400";"1755";"435";"1320";"1380";"375";"1.1";"66";"245";"200"
"Loppersum";"BU00240000";"1080";"270";"805";"865";"215";"1.0";"839";"135";"115"
"Garrelsweer";"BU00240001";"265";"55";"210";"210";"55";"1.2";"385";"30";"35"
"Wirdum";"BU00240002";"185";"55";"130";"145";"40";"1.3";"327";"30";"15"
"Wirdumerdraai";"BU00240003";"85";"25";"60";"70";"15";"1.5";"252";"20";"10"
"Winneweer (gedeeltelijk)";"BU00240005";"0";"0";"0";"0";"0";".";".";"0";"0"
"Verspr.h. Eemskanaal en Damsterdiep";"BU00240008";"40";"5";"35";"25";"20";".";".";"15";"5"
"Verspr.h. ten N. van het Damsterdiep";"BU00240009";"95";"25";"75";"65";"30";"1.2";"6";"15";"10"
"Wijk 01 Stedum";"WK002401";"855";"165";"695";"620";"235";"1.2";"35";"150";"115"
"Stedum";"BU00240100";"420";"80";"340";"320";"100";"1.1";"608";"60";"45"
"Westeremden";"BU00240101";"195";"45";"150";"140";"55";"1.3";"283";"35";"20"
"Garsthuizen (gedeeltelijk)";"BU00240102";"110";"20";"90";"80";"35";"1.3";"260";"25";"35"
"Verspr.h. Stedum inclusief Startenhuizen";"BU00240109";"130";"15";"115";"80";"50";"1.4";"6";"35";"15"
"Wijk 02 Middelstum";"WK002402";"1245";"250";"995";"920";"320";"1.1";"49";"185";"150"
"Middelstum";"BU00240200";"940";"200";"740";"720";"220";"1.0";"806";"110";"105"
"Westerwijtwerd";"BU00240201";"75";"10";"65";"55";"20";".";".";"10";"5"
"Huizinge";"BU00240202";"55";"5";"50";"30";"25";".";".";"10";"5"
"Toornwerd";"BU00240203";"45";"10";"40";"30";"15";".";".";"10";"15"
"Verspreide huizen Middelstum";"BU00240209";"130";"25";"100";"90";"40";"1.3";"6";"45";"20"
"Wijk 03 't Zandt";"WK002403";"1220";"235";"980";"930";"285";"1.3";"35";"195";"275"
"'t Zandt";"BU00240300";"390";"65";"320";"305";"85";"1.2";"423";"40";"110"
"Zeerijp";"BU00240301";"240";"40";"200";"180";"55";"1.3";"285";"40";"50"
"Zijldijk";"BU00240302";"105";"15";"85";"85";"20";"1.2";"156";"10";"20"
"Leermens";"BU00240303";"120";"30";"90";"95";"25";"1.3";"186";"20";"25"
"Oosterwijtwerd";"BU00240304";"110";"25";"85";"85";"25";"1.4";"163";"15";"20"
"Eenum";"BU00240305";"70";"15";"60";"60";"15";".";".";"15";"20"
"Verspreide huizen 't Zandt";"BU00240309";"185";"45";"140";"125";"60";"1.3";"6";"55";"30"
"Marum";"GM0025";"5710";"1340";"4370";"3915";"1795";"1.4";"89";"915";"665"
"Wijk 00 Marum";"WK002500";"4380";"1085";"3295";"3000";"1380";"1.4";"101";"670";"480"
"Marum";"BU00250000";"2655";"705";"1950";"1870";"785";"1.3";"583";"345";"290"
"Nuis";"BU00250002";"485";"135";"350";"265";"220";"1.8";"149";"75";"40"
"Niebert";"BU00250003";"320";"65";"255";"240";"80";"1.6";"75";"60";"55"
"Boerakker";"BU00250004";"230";"45";"185";"180";"50";"1.6";"412";"25";"15"
"Lucaswolde";"BU00250005";"130";"20";"110";"80";"50";"1.8";"27";"20";"15"
"Noordwijk";"BU00250006";"130";"25";"105";"95";"40";"1.3";"370";"25";"20"
"De Haar";"BU00250007";"90";"20";"70";"55";"35";"1.5";"45";"20";"10"
"Verspreide huizen in het noordwesten";"BU00250008";"125";"25";"100";"80";"45";"1.7";"10";"30";"15"
"Verspreide huizen in het noordoosten";"BU00250009";"215";"40";"175";"140";"80";"1.3";"20";"70";"25"
"Wijk 01 De Wilp";"WK002501";"1315";"245";"1070";"905";"410";"1.4";"62";"240";"180"
"De Wilp (gedeeltelijk)";"BU00250100";"745";"140";"605";"520";"225";"1.3";"414";"120";"110"
"Wilpstervaart";"BU00250101";"55";"10";"45";"35";"25";".";".";"5";"10"
"Keuningswijk";"BU00250102";"140";"15";"125";"100";"40";"1.3";"45";"25";"25"
"Jonkersvaart";"BU00250104";"140";"25";"115";"100";"40";"1.6";"61";"30";"20"
"Verspr.h. ten noorden van Jonkersvaart";"BU00250108";"125";"30";"95";"85";"40";"1.4";"21";"40";"10"
"Verspr.h. ten noorden van de Wilp";"BU00250109";"105";"20";"85";"65";"40";"1.3";"14";"20";"10"
"Almere";"GM0034";"228670";"179520";"49150";"109295";"119375";".";".";"32505";"6805"
"Wijk 01 Almere Haven";"WK003401";"8950";"3150";"5805";"7280";"1675";"0.9";"429";"635";"845"
"Centrum Almere Haven";"BU00340101";"495";"185";"310";"410";"85";"0.6";"987";"40";"35"
"De Werven";"BU00340102";"950";"240";"710";"790";"155";"0.7";"1924";"60";"100"
"De Hoven";"BU00340103";"810";"230";"580";"645";"165";"0.7";"1886";"40";"70"
"De Meenten";"BU00340104";"980";"370";"610";"810";"165";"0.9";"1287";"55";"110"
"De Grienden";"BU00340105";"965";"330";"635";"795";"170";"1.0";"1544";"55";"110"
"De Marken";"BU00340106";"1115";"375";"740";"935";"180";"0.9";"1010";"80";"120"
"De Gouwen";"BU00340107";"1280";"485";"790";"1035";"245";"1.1";"1831";"95";"110"
"De Wierden";"BU00340108";"1155";"315";"845";"980";"175";"0.7";"1299";"55";"95"
"De Velden";"BU00340109";"855";"440";"410";"665";"185";"1.4";"1386";"35";"75"
"Overgooi";"BU00340110";"275";"135";"140";"180";"95";"1.8";"44";"15";"15"
"De Steiger";"BU00340171";"55";"30";"25";"25";"30";".";".";"100";"5"
"Stichtsekant";"BU00340173";"15";"15";"0";"5";"15";".";".";"5";"0"
"Overig Almere Haven";"BU00340199";"5";"5";"0";"5";"0";".";".";"0";"0"
"Wijk 02 Almere Stad";"WK003402";"43690";"18055";"25640";"33585";"10105";"1.0";"1227";"3465";"3550"
"Centrum Almere Stad";"BU00340201";"1300";"520";"780";"1015";"285";"0.6";"1590";"170";"100"
"Filmwijk";"BU00340202";"3845";"1505";"2345";"3140";"705";"0.9";"1870";"145";"310"
"Danswijk";"BU00340203";"2195";"785";"1410";"1755";"440";"1.0";"3479";"105";"175"
"Parkwijk";"BU00340204";"2130";"895";"1235";"1745";"385";"1.0";"1731";"100";"155"
"Verzetswijk";"BU00340205";"1380";"540";"840";"1105";"275";"1.0";"1370";"55";"105"
"Waterwijk";"BU00340206";"2910";"945";"1965";"2375";"535";"0.9";"2052";"195";"330"
"Tussen de Vaarten Noord";"BU00340207";"2060";"740";"1320";"1605";"460";"0.9";"1079";"125";"175"
"Tussen de Vaarten Zuid";"BU00340208";"4050";"1585";"2460";"3165";"885";"1.0";"1670";"170";"315"
"Staatsliedenwijk";"BU00340209";"625";"130";"495";"500";"125";"0.5";"1659";"40";"45"
"Kruidenwijk";"BU00340210";"3080";"990";"2090";"2515";"565";"0.9";"1377";"210";"345"
"Stedenwijk";"BU00340211";"3200";"780";"2420";"2635";"565";"0.7";"2078";"215";"265"
"Muziekwijk Noord";"BU00340212";"4395";"1625";"2775";"3575";"820";"1.0";"1856";"215";"420"
"Muziekwijk Zuid";"BU00340213";"2490";"920";"1570";"2045";"445";"0.9";"2552";"170";"240"
"Literatuurwijk";"BU00340214";"3885";"1620";"2265";"3035";"845";"1.1";"2592";"305";"320"
"Noorderplassen";"BU00340215";"2775";"1295";"1480";"2140";"635";"1.2";"682";"145";"210"
"Randstad";"BU00340271";"110";"80";"30";"50";"60";".";".";"25";"15"
"Markerkant";"BU00340272";"85";"55";"30";"65";"25";".";".";"60";"15"
"Hollandsekant";"BU00340273";"15";"10";"5";"10";"5";".";".";"90";"0"
"Gooisekant";"BU00340274";"430";"390";"40";"120";"310";".";".";"190";"5"
"Veluwsekant";"BU00340275";"2705";"2620";"80";"985";"1720";".";".";"720";"10"
"Sallandsekant";"BU00340276";"20";"15";"5";"5";"15";".";".";"20";"0"
"Overig Almere Stad";"BU00340299";"5";"0";"5";"5";"0";".";".";"5";"0"
"Wijk 03 Almere Buiten";"WK003403";"21465";"7550";"13915";"16630";"4835";"1.0";"806";"1655";"1990"
"Centrum Almere Buiten";"BU00340301";"485";"140";"345";"410";"75";"0.6";"1085";"40";"30"
"Oostvaardersbuurt";"BU00340302";"2235";"760";"1470";"1690";"540";"1.0";"1901";"90";"195"
"Seizoenenbuurt";"BU00340303";"2000";"685";"1315";"1560";"440";"1.0";"1426";"90";"190"
"Molenbuurt";"BU00340304";"1390";"400";"995";"1135";"255";"0.8";"2249";"110";"145"
"Bouwmeesterbuurt";"BU00340305";"1655";"420";"1235";"1335";"320";"0.9";"1401";"110";"170"
"Landgoederenbuurt";"BU00340306";"1555";"575";"975";"1240";"315";"1.0";"2137";"85";"160"
"Faunabuurt";"BU00340307";"1695";"595";"1100";"1360";"335";"1.0";"2513";"85";"165"
"Bloemenbuurt";"BU00340308";"2020";"650";"1370";"1645";"380";"0.9";"2562";"105";"200"
"Regenboogbuurt";"BU00340309";"2090";"700";"1390";"1655";"440";"1.0";"1987";"105";"185"
"Indischebuurt";"BU00340310";"510";"155";"355";"410";"100";"0.8";"1151";"15";"35"
"Eilandenbuurt";"BU00340311";"2345";"890";"1455";"1735";"610";"1.0";"3048";"115";"215"
"Stripheldenbuurt";"BU00340312";"2500";"995";"1505";"1885";"615";"1.0";"1475";"140";"255"
"Sieradenbuurt";"BU00340313";"465";"245";"220";"350";"115";"1.2";"630";"15";"30"
"Poldervlak";"BU00340371";"95";"65";"35";"45";"50";".";".";"100";"5"
"De Vaart";"BU00340372";"295";"240";"60";"90";"210";".";".";"415";"10"
"Buitenvaart";"BU00340373";"100";"35";"65";"70";"30";"1.3";"38";"30";"5"
"Overig Almere Buiten";"BU00340399";"30";"10";"20";"15";"10";".";".";"5";"0"
"Wijk 04 Almere Poort";"WK003404";"3935";"1520";"2415";"3110";"830";"0.9";"469";"250";"275"
"Europakwartier";"BU00340401";"875";"310";"565";"720";"155";"0.8";"1122";"30";"70"
"Columbuskwartier";"BU00340402";"820";"315";"510";"660";"165";"0.9";"1322";"30";"45"
"Homeruskwartier";"BU00340403";"1975";"725";"1255";"1610";"370";"0.9";"1904";"80";"150"
"Olympiakwartier";"BU00340404";"0";"0";"0";"0";"0";".";".";"0";"0"
"Duin";"BU00340405";"115";"55";"60";"85";"30";"1.5";"65";"10";"0"
"Hogekant";"BU00340471";"120";"95";"25";"30";"90";".";".";"75";"0"
"Middenkant";"BU00340472";"0";"0";"0";"0";"0";".";".";"0";"0"
"Lagekant";"BU00340473";"30";"25";"5";"5";"20";".";".";"25";"0"
"Overig Almere Poort";"BU00340499";"0";"0";"0";"0";"0";".";".";"0";"0"
"Wijk 05 Almere Hout";"WK003405";"935";"470";"465";"710";"225";"1.4";"32";"90";"70"
"Vogelhorst";"BU00340502";"740";"400";"340";"560";"175";"1.5";"463";"25";"45"
"Nobelhorst";"BU00340503";"45";"15";"30";"45";"0";"0.8";"18";"0";"5"
"Twentsekant";"BU00340571";"0";"0";"0";"0";"0";".";".";"0";"0"
"Overig Almere Hout";"BU00340599";"150";"50";"100";"105";"50";"1.5";"6";"60";"15"
"Wijk 06 Almere Pampus";"WK003406";"5";"5";"0";"5";"0";".";".";"0";"0"
"Overig Almere Pampus";"BU00340699";"5";"5";"0";"5";"0";".";".";"0";"0"
"Stadskanaal";"GM0037";"16125";"3810";"12315";"12825";"3300";"1.1";"137";"2255";"1610"
"Wijk 01 Stadskanaal";"WK003701";"9460";"2360";"7100";"7590";"1870";"1.0";"401";"1255";"910"
"Stadskanaal Centrum";"BU00370100";"650";"185";"465";"555";"90";"0.8";"1013";"70";"25"
"Maarsstee";"BU00370101";"425";"60";"370";"385";"40";"0.6";"1692";"25";"20"
"Maarswold";"BU00370102";"790";"180";"615";"690";"105";"0.7";"1531";"40";"50"
"Maarsveld";"BU00370103";"1305";"240";"1070";"1095";"210";"1.0";"687";"75";"95"
"De Hagen";"BU00370104";"590";"145";"445";"495";"95";"1.0";"2064";"20";"30"
"Vogelwijk en de Borgen";"BU00370105";"1380";"480";"900";"1075";"305";"1.3";"1537";"60";"120"
"Industriegebied";"BU00370106";"345";"130";"210";"215";"125";".";".";"410";"35"
"Dideldom";"BU00370107";"260";"60";"200";"180";"80";"1.8";"285";"170";"35"
"Parkwijk";"BU00370108";"1210";"255";"955";"975";"235";"1.0";"1025";"95";"130"
"Noord Landskant";"BU00370109";"575";"125";"450";"455";"120";"1.4";"242";"105";"95"
"Centrum-Noord";"BU00370110";"1005";"225";"775";"765";"240";"1.2";"283";"90";"130"
"Noord";"BU00370111";"490";"80";"410";"370";"120";"1.5";"58";"75";"110"
"Waterland";"BU00370112";"430";"195";"230";"330";"100";"1.4";"1503";"25";"40"
"Wijk 02 Musselkanaal";"WK003702";"3525";"695";"2830";"2840";"685";"1.1";"313";"420";"330"
"Musselkanaal Centrum";"BU00370200";"1695";"300";"1390";"1380";"310";"1.0";"934";"115";"140"
"Zuid";"BU00370201";"665";"190";"470";"530";"135";"1.1";"581";"110";"55"
"Noord";"BU00370202";"755";"140";"620";"590";"165";"1.4";"177";"130";"85"
"Ceresdorp";"BU00370203";"415";"65";"350";"340";"75";"1.0";"103";"65";"50"
"Wijk 03 Onstwedde";"WK003703";"1550";"390";"1160";"1205";"350";"1.3";"39";"210";"150"
"Onstwedde";"BU00370300";"985";"260";"730";"795";"190";"1.2";"403";"75";"95"
"Holte";"BU00370301";"65";"20";"40";"45";"20";".";".";"15";"10"
"Buitengebied-Noord";"BU00370308";"165";"40";"125";"120";"45";"1.6";"14";"35";"20"
"Buitengebied-Zuid";"BU00370309";"335";"70";"265";"245";"95";"1.5";"13";"85";"30"
"Wijk 04 Mussel";"WK003704";"870";"180";"690";"640";"230";"1.5";"31";"185";"115"
"Mussel";"BU00370400";"515";"95";"420";"385";"125";"1.4";"164";"110";"70"
"Kopstukken";"BU00370401";"110";"25";"85";"75";"35";"1.8";"99";"20";"15"
"Vledderveen";"BU00370402";"190";"45";"145";"135";"55";"1.7";"71";"35";"20"
"Verspreide huizen Mussel";"BU00370409";"55";"10";"45";"45";"15";"1.1";"3";"20";"5"
"Wijk 05 Alteveer";"WK003705";"695";"170";"525";"550";"150";"1.4";"48";"120";"105"
"Alteveer";"BU00370500";"550";"140";"410";"445";"105";"1.4";"235";"75";"70"
"Verspreide huizen Alteveer";"BU00370509";"150";"30";"120";"105";"45";"1.4";"12";"45";"35"
"Slochteren";"GM0040";"8635";"2220";"6415";"6645";"1990";"1.3";"57";"1490";"1215"
"Wijk 00 Slochteren-Kolham";"WK004000";"2630";"635";"1995";"2030";"600";"1.3";"72";"510";"325"
"Slochteren";"BU00400000";"1150";"270";"880";"910";"245";"1.2";"553";"155";"130"
"Kolham";"BU00400001";"465";"120";"340";"380";"80";"1.2";"209";"85";"55"
"'s-Gravenschans en Ruiten";"BU00400002";"50";"20";"30";"35";"20";".";".";"10";"10"
"Rengerslaan";"BU00400003";"130";"35";"95";"100";"30";"1.7";"312";"10";"20"
"Knijpslaan";"BU00400004";"165";"35";"125";"135";"25";"1.5";"284";"25";"20"
"Froombosch";"BU00400006";"460";"90";"370";"355";"105";"1.4";"262";"55";"55"
"Verspr.h. ten oosten van Slochteren";"BU00400007";"60";"20";"40";"40";"20";".";".";"10";"15"
"Verspreide huizen ten zuiden van Kolham";"BU00400008";"60";"20";"40";"20";"45";".";".";"120";"0"
"Verspreide huizen in de Hooilandspolder";"BU00400009";"85";"20";"70";"55";"35";".";".";"45";"20"
"Wijk 01 Schildwolde-Hellum";"WK004001";"1305";"285";"1020";"960";"345";"1.4";"49";"255";"200"
"Schildwolde";"BU00400100";"840";"190";"650";"630";"210";"1.4";"298";"145";"125"
"Hellum";"BU00400101";"310";"70";"235";"220";"85";"1.4";"182";"65";"50"
"Meenteweg";"BU00400102";"125";"25";"100";"95";"25";"1.9";"105";"30";"15"
"Verspr.h. ten noorden van Het Siep";"BU00400108";"15";"0";"10";"5";"10";".";".";"5";"5"
