"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar eigendom";"Naar eigendom"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Appartement";"Tussenwoning";"Hoekwoning";"Twee-onder-één-kap-woning";"Vrijstaande woning";"Huurwoning";"Koopwoning"
"Wijken en buurten";"code";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Westerbroekstermadepolder";"BU00180802";".";".";".";".";".";".";".";"."
"Industriegebied Winschoterdiep";"BU00180803";"3300";".";".";".";"2750";"3550";".";"3250"
"Westerbroek";"BU00180804";"3450";".";"2900";"3150";"3200";"4100";"3150";"3600"
"Wijk 09 Waterhuizen";"WK001809";"3300";".";".";".";".";"4000";".";"3650"
"Waterhuizen";"BU00180901";"3300";".";".";".";".";"4000";".";"3650"
"Wijk 11 Sappemeer";"WK001811";"3000";"1900";"3000";"3050";"3250";"3800";"2500";"3400"
"Magrietpark";"BU00181101";"2600";"1900";"2800";"2800";"2950";"3600";"2350";"2950"
"Sappemeer-Oost";"BU00181102";"3350";"2100";"2900";"3600";"3350";"3900";"2550";"3600"
"Boswijck-West";"BU00181103";"2800";"1900";"2950";"2950";"3100";"3950";"2200";"3250"
"Boswijck-Oost";"BU00181104";"2400";"1700";"2700";"2750";"4000";"4000";"2400";"3000"
"Compagniesterpark";"BU00181105";"3150";"1750";"3500";"3650";"3200";"3400";"2600";"3350"
"De Vosholen-Oost";"BU00181106";"4050";".";"3650";"4450";"4000";"4100";"3900";"4050"
"Nieuw Woelwijck";"BU00181107";"3800";".";".";".";"2850";"4150";"5200";"3650"
"Polder De Nijverheid";"BU00181108";"4150";".";".";".";".";"4050";".";"4250"
"Sappemeer-Noord";"BU00181109";"3800";".";"3750";"3250";"3550";"4000";"3650";"3800"
"Leek";"GM0022";"3250";"2100";"2900";"3000";"3350";"4000";"2550";"3650"
"Wijk 00 Leek";"WK002200";"3050";"2100";"2900";"3000";"3350";"4000";"2550";"3500"
"Diepswal";"BU00220001";"4000";".";"2900";"3200";"3900";"4400";"3100";"4100"
"Centrum Leek en omgeving";"BU00220002";"2600";"2100";"2650";"2800";"3000";"3350";"2300";"3050"
"Rodenburg en omgeving";"BU00220003";"3150";"2500";"3000";"3050";"3500";"4100";"2750";"3550"
"Nienoordsrand";"BU00220004";"4300";".";".";".";"3450";"4400";"3450";"4400"
"Buitengebied ten oosten van Leek";"BU00220008";".";".";".";".";".";".";".";"."
"Buitengebied ten zuiden van Leek";"BU00220009";"3800";".";"2950";"3450";"4000";"4300";"3050";"3900"
"Wijk 01 Zevenhuizen";"WK002201";"3700";"1650";"2800";"2700";"3500";"4000";"2650";"4000"
"Bebouwde kom Zevenhuizen";"BU00220100";"3250";"1650";"2650";"2600";"3450";"3650";"2300";"3700"
"De Haspel";"BU00220101";"4350";".";".";".";".";"4400";".";"4450"
"Drostinnewijk";"BU00220102";"4300";".";".";".";".";"4250";"6550";"4050"
"Boerenstreek";"BU00220103";"3350";".";".";".";".";"3300";".";"3550"
"Buitengebied ten noorden van Zevenhuizen";"BU00220107";"4950";".";".";".";".";"5000";".";"4950"
"Buitengebied ten oosten van Zevenhuizen";"BU00220108";"4350";".";".";".";".";"4450";".";"4500"
"Buitengebied ten westen van Zevenhuizen";"BU00220109";"4100";".";".";".";".";"4100";"3850";"4100"
"Wijk 02 Tolbert";"WK002202";"3250";"2150";"2950";"3100";"3550";"4000";"2400";"3650"
"Bebouwde kom Tolbert";"BU00220200";"3250";"2100";"2850";"2800";"3400";"4000";"2150";"3650"
"Sint Maheerdt";"BU00220201";"3150";"2150";"3000";"3200";"3650";"3900";"2450";"3600"
"Buitengebied Tolbert";"BU00220209";"4050";".";".";".";"3900";"4050";"3450";"4150"
"Wijk 04 Midwolde";"WK002204";"4100";".";".";".";".";"4050";"4350";"4050"
"Bebouwde kom Midwolde";"BU00220400";"4050";".";".";".";".";"4050";".";"4150"
"Pasop";"BU00220401";"4300";".";".";".";".";"4300";".";"4300"
"Buitengebied Midwolde";"BU00220409";"3950";".";".";".";".";"3850";"4800";"3750"
"Wijk 05 Lettelbert";"WK002205";"4150";".";".";".";".";"4050";".";"4350"
"Bebouwde kom Lettelbert";"BU00220500";"4350";".";".";".";".";"4400";".";"4550"
"Buitengebied Lettelbert";"BU00220509";"3900";".";".";".";".";"3550";".";"4100"
"Wijk 06 Oostwold";"WK002206";"3700";".";"2250";"3500";"2800";"4300";"2500";"4050"
"Bebouwde kom Oostwold";"BU00220600";"3650";".";"2250";"3500";"2800";"4350";"2300";"4100"
"Buitengebied-Oostwold";"BU00220609";"4150";".";".";".";".";"4150";".";"3900"
"Wijk 07 Enumatil";"WK002207";"3200";".";"2950";"3050";"2400";"3550";"2500";"3350"
"Bebouwde kom Enumatil";"BU00220700";"3150";".";"3150";"3050";"2550";"3450";"2450";"3300"
"Buitengebied Enumatil";"BU00220709";"3450";".";".";".";".";"3900";".";"3450"
"Loppersum";"GM0024";"3050";"1700";"2550";"2700";"2850";"3550";"2350";"3550"
"Wijk 00";"WK002400";"3050";"1700";"2650";"2750";"2950";"3600";"2350";"3550"
"Loppersum";"BU00240000";"2950";"1700";"2700";"2750";"2950";"3500";"2250";"3500"
"Garrelsweer";"BU00240001";"3250";".";"2600";"3000";"3200";"3500";"2800";"3500"
"Wirdum";"BU00240002";"3350";".";"1800";"1850";"2800";"3850";"2450";"3800"
"Wirdumerdraai";"BU00240003";"3200";".";".";".";"2300";"3400";".";"3250"
"Winneweer (gedeeltelijk)";"BU00240005";".";".";".";".";".";".";".";"."
"Verspr.h. Eemskanaal en Damsterdiep";"BU00240008";"3700";".";".";".";".";"3700";".";"3700"
"Verspr.h. ten N. van het Damsterdiep";"BU00240009";"4150";".";".";".";".";"4200";".";"4250"
"Wijk 01 Stedum";"WK002401";"3000";".";"2450";"2800";"2550";"3250";"2250";"3250"
"Stedum";"BU00240100";"2950";".";"2450";"2800";"2700";"3250";"2250";"3250"
"Westeremden";"BU00240101";"2950";".";".";".";"2150";"3150";"2100";"3150"
"Garsthuizen (gedeeltelijk)";"BU00240102";"3050";".";".";".";"2000";"3250";"2350";"3300"
"Verspr.h. Stedum inclusief Startenhuizen";"BU00240109";"3550";".";".";".";".";"3450";".";"3600"
"Wijk 02 Middelstum";"WK002402";"2800";"1600";"2450";"2550";"2850";"3400";"2200";"3450"
"Middelstum";"BU00240200";"2700";"1600";"2400";"2550";"2850";"3400";"2200";"3450"
"Westerwijtwerd";"BU00240201";"4050";".";".";".";".";"3950";".";"4200"
"Huizinge";"BU00240202";"2600";".";".";".";".";"2600";".";"2600"
"Toornwerd";"BU00240203";"4050";".";".";".";".";"3850";".";"4100"
"Verspreide huizen Middelstum";"BU00240209";"3400";".";".";".";".";"3400";"3000";"3450"
"Wijk 03 't Zandt";"WK002403";"3450";".";"2600";"2850";"2800";"3800";"2700";"3750"
"'t Zandt";"BU00240300";"3300";".";"2800";"3250";"2950";"3600";"2850";"3550"
"Zeerijp";"BU00240301";"3500";".";"2450";"2750";"3000";"3850";"2850";"3750"
"Zijldijk";"BU00240302";"3150";".";"1800";"2050";"2300";"3800";"2200";"3650"
"Leermens";"BU00240303";"3400";".";".";".";"3050";"3500";"2900";"3600"
"Oosterwijtwerd";"BU00240304";"3600";".";".";".";"1950";"4050";"2200";"4150"
"Eenum";"BU00240305";"3600";".";".";".";".";"3700";".";"3700"
"Verspreide huizen 't Zandt";"BU00240309";"4200";".";".";".";".";"4200";".";"4250"
"Marum";"GM0025";"3350";"1700";"2450";"2650";"3250";"3950";"2550";"3800"
"Wijk 00 Marum";"WK002500";"3350";"1750";"2450";"2700";"3300";"3900";"2500";"3750"
"Marum";"BU00250000";"3050";"1750";"2500";"2700";"3250";"3700";"2400";"3500"
"Nuis";"BU00250002";"3750";".";"1850";"3100";"4200";"3900";"3250";"3950"
"Niebert";"BU00250003";"4050";".";".";".";"3400";"4250";"3000";"4300"
"Boerakker";"BU00250004";"3550";".";".";"3400";"3250";"3750";"2300";"3900"
"Lucaswolde";"BU00250005";"4400";".";".";".";".";"4400";".";"4500"
"Noordwijk";"BU00250006";"3600";".";".";"2050";"3100";"4250";"2250";"4150"
"De Haar";"BU00250007";"4100";".";".";".";".";"4100";".";"4100"
"Verspreide huizen in het noordwesten";"BU00250008";"4500";".";".";".";".";"4500";"4400";"4500"
"Verspreide huizen in het noordoosten";"BU00250009";"4300";".";".";".";".";"4250";"3900";"4300"
"Wijk 01 De Wilp";"WK002501";"3600";"1150";"2300";"2550";"3100";"4050";"2600";"3950"
"De Wilp (gedeeltelijk)";"BU00250100";"3150";"1150";"2300";"2550";"3050";"3700";"2300";"3600"
"Wilpstervaart";"BU00250101";"3800";".";".";".";".";"3800";".";"3800"
"Keuningswijk";"BU00250102";"4250";".";".";".";".";"4250";"2250";"4450"
"Jonkersvaart";"BU00250104";"4150";".";".";".";".";"4200";".";"4200"
"Verspr.h. ten noorden van Jonkersvaart";"BU00250108";"4850";".";".";".";".";"4850";"3300";"4950"
"Verspr.h. ten noorden van de Wilp";"BU00250109";"4450";".";".";".";".";"4450";"4500";"4350"
"Almere";"GM0034";"3350";"2250";"3550";"3700";"4400";"4900";"2650";"3750"
"Wijk 01 Almere-Haven";"WK003401";"3150";"2250";"3400";"3350";"4400";"5250";"2500";"3700"
"Centrum Almere-Haven";"BU00340101";"2700";"2700";"1800";"2000";".";".";"2550";"2950"
"De Werven";"BU00340102";"2900";"2150";"3350";"3150";".";".";"2600";"3450"
"De Hoven";"BU00340103";"2850";"2100";"3450";"3650";"4800";"5850";"2450";"3450"
"De Meenten";"BU00340104";"3000";"2150";"3500";"3300";"4600";".";"2300";"3550"
"De Grienden";"BU00340105";"3250";"1950";"3100";"3200";"4350";"4900";"2650";"3700"
"De Marken";"BU00340106";"3350";"2200";"3500";"3300";"4750";"4350";"3000";"3650"
"De Gouwen";"BU00340107";"3500";"1550";"3500";"3600";"4050";"5200";"2350";"3800"
"De Wierden";"BU00340108";"2650";"2000";"3000";"3100";"3200";"4650";"2300";"3350"
"De Velden";"BU00340109";"4450";"2600";"4400";"4600";"4750";"5150";"4250";"4400"
"Overgooi";"BU00340110";"6150";"4800";".";".";".";"6350";".";"6100"
"De Steiger";"BU00340171";"4550";".";"5100";".";".";".";".";"4150"
"Stichtsekant";"BU00340173";".";".";".";".";".";".";".";"."
"Verspreide Huizen Almere-Haven";"BU00340199";".";".";".";".";".";".";".";"."
"Wijk 02 Almere-Stad";"WK003402";"3400";"2250";"3650";"3800";"4350";"4900";"2650";"3800"
"Centrum Almere-Stad";"BU00340201";"2350";"2350";".";".";".";".";"2250";"2550"
"Filmwijk";"BU00340202";"3350";"2250";"3650";"3900";"4600";"4900";"2650";"3800"
"Danswijk";"BU00340203";"3450";"2100";"3700";"3800";".";".";"2700";"3750"
"Parkwijk";"BU00340204";"3600";"2200";"3800";"4050";"4400";"5300";"2850";"4200"
"Verzetswijk";"BU00340205";"3600";"2300";"3700";"4050";"4400";"4550";"2550";"4050"
"Waterwijk";"BU00340206";"3450";"1950";"3550";"3650";"4050";"4800";"2550";"3750"
"Staatsliedenwijk";"BU00340209";"2450";"2200";"3600";"3400";".";".";"2200";"3250"
"Kruidenwijk";"BU00340210";"3300";"1900";"3450";"3500";"3400";"4950";"2600";"3750"
"Stedenwijk";"BU00340211";"3100";"2250";"3400";"3350";"3600";"4600";"2700";"3500"
"Literatuurwijk";"BU00340214";"3850";"2150";"3900";"4250";"4950";"5150";"2950";"4200"
"Noorderplassen";"BU00340215";"3950";"2750";"3800";"3900";"4750";"4850";"3250";"4100"
"Tussen de Vaarten";"BU00340220";"3550";"2400";"3700";"4000";"3200";"5050";"2950";"3800"
"Muziekwijk";"BU00340221";"3400";"2100";"3650";"3800";"4200";"4900";"2600";"3800"
"Randstad";"BU00340271";".";".";".";".";".";".";".";"."
"Markerkant";"BU00340272";".";".";".";".";".";".";".";"."
"Hollandsekant";"BU00340273";".";".";".";".";".";".";".";"."
"Gooisekant";"BU00340274";".";".";".";".";".";".";".";"."
"Veluwsekant";"BU00340275";".";".";".";".";".";".";".";"."
"Sallandsekant";"BU00340276";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Stad";"BU00340299";".";".";".";".";".";".";".";"."
"Wijk 03 Almere-Buiten";"WK003403";"3450";"2250";"3550";"3700";"4500";"4950";"2750";"3850"
"Centrum Almere-Buiten";"BU00340301";"2450";"2300";"2850";"3250";".";".";"2300";"2950"
"Oostvaardersbuurt";"BU00340302";"3900";"2500";"3850";"4050";"4750";"5750";"3300";"4150"
"Seizoenenbuurt";"BU00340303";"3600";"2200";"3500";"3800";"4500";"5100";"2900";"3900"
"Molenbuurt";"BU00340304";"3150";"2000";"3400";"3350";"4500";".";"2500";"3700"
"Bouwmeesterbuurt";"BU00340305";"3350";"2250";"3500";"3450";"4300";"3450";"2850";"3650"
"Landgoederenbuurt";"BU00340306";"3550";"2250";"3750";"3850";"4450";"4350";"2700";"3950"
"Faunabuurt";"BU00340307";"3650";"1950";"3650";"4000";"4700";"5050";"2700";"4050"
"Bloemenbuurt";"BU00340308";"3250";"2250";"3350";"3550";"3200";"4650";"2600";"3650"
"Regenboogbuurt";"BU00340309";"3450";"2300";"3500";"3750";"4900";"5000";"2850";"3700"
"Indischebuurt";"BU00340310";"2500";"2000";"3050";"3100";".";".";"2150";"3100"
"Eilandenbuurt";"BU00340311";"3800";"2850";"3650";"3750";"4600";"5050";"3250";"4000"
"Stripheldenbuurt";"BU00340312";"3450";"2150";"3500";"3850";"4000";"4500";"2650";"3700"
"Sieradenbuurt";"BU00340313";"3950";"3100";"3750";"4050";"4400";"5300";"2850";"4000"
"Poldervlak";"BU00340371";".";".";".";".";".";".";".";"."
"De Vaart";"BU00340372";".";".";".";".";".";".";".";"."
"Buitenvaart";"BU00340373";"5250";".";".";".";".";"5300";"4550";"5800"
"Verspreide huizen Almere-Buiten";"BU00340399";"4700";".";"4250";"3750";".";".";".";"4400"
"Wijk 04 Almere-Poort";"WK003404";"2850";"2200";"3000";"3100";"3150";"4250";"2450";"2900"
"Columbuskwartier";"BU00340402";"2950";"2150";"2550";"2600";"2150";"4350";"2250";"2950"
"Homeruskwartier";"BU00340403";"3000";"2150";"3050";"3250";"3550";"4250";"2800";"2900"
"Almeerderzand";"BU00340405";"3900";"3800";".";".";".";".";"3000";"3900"
"Europakwartier Oost";"BU00340420";".";".";".";".";".";".";".";"."
"Europakwartier West";"BU00340421";"2500";"2050";"3500";"3700";".";".";"2300";"2650"
"Olympiakwartier Oost";"BU00340422";".";".";".";".";".";".";".";"."
"Olympiakwartier West";"BU00340423";".";".";".";".";".";".";".";"."
"Hogekant";"BU00340471";".";".";".";".";".";".";".";"."
"Middenkant";"BU00340472";".";".";".";".";".";".";".";"."
"Lagekant";"BU00340473";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Poort";"BU00340499";".";".";".";".";".";".";".";"."
"Wijk 05 Almere-Hout";"WK003405";"4950";"1950";".";".";"4550";"5100";"3150";"5050"
"Vogelhorst";"BU00340502";"5050";".";".";".";"4600";"5100";"5150";"5050"
"Nobelhorst";"BU00340503";"4050";"1450";".";".";".";".";"1450";"."
"Twentsekant";"BU00340571";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Hout";"BU00340599";"5550";".";".";".";".";"5550";".";"5550"
"Wijk 06 Almere-Pampus";"WK003406";".";".";".";".";".";".";".";"."
"Verspreide huizen Almere-Pampus";"BU00340699";".";".";".";".";".";".";".";"."
"Stadskanaal";"GM0037";"3050";"1900";"2800";"2950";"3350";"3900";"2350";"3550"
"Wijk 01 Stadskanaal";"WK003701";"2900";"1900";"2800";"2950";"3400";"3900";"2250";"3500"
"Stadskanaal Centrum";"BU00370100";"2350";"2100";"4300";".";"3200";"3500";"2000";"2700"
"Maarsstee";"BU00370101";"2200";"1850";"2500";"2400";"3000";".";"2150";"2750"
"Maarswold";"BU00370102";"2350";"1850";"2600";"2900";"2800";"3600";"2250";"2850"
"Maarsveld";"BU00370103";"2850";"1700";"3050";"3250";"2950";"3650";"2300";"3350"
"De Hagen";"BU00370104";"2650";"1400";"2700";"3000";"3750";".";"1900";"3150"
"Vogelwijk en de Borgen";"BU00370105";"3350";"1450";"2800";"3050";"3500";"4200";"2200";"3750"
"Industriegebied";"BU00370106";"3600";".";".";".";".";"3700";"3200";"3700"
"Dideldom";"BU00370107";"3900";".";".";".";"4050";"3900";"3100";"3950"
"Parkwijk";"BU00370108";"2800";"2000";"2550";"2700";"3050";"3550";"2500";"3400"
"Noord Landskant";"BU00370109";"3700";".";"4250";".";"3050";"3800";"3550";"3750"
"Centrum-Noord";"BU00370110";"3300";"2100";"2650";"2800";"3500";"4100";"2550";"3800"
"Noord";"BU00370111";"3850";".";".";".";"3450";"3900";"3950";"3850"
"Waterland";"BU00370112";"4050";"2750";"3350";"3050";"3800";"4850";"4200";"4050"
"Wijk 02 Musselkanaal";"WK003702";"3100";"1800";"2900";"2950";"3350";"3850";"2550";"3550"
"Musselkanaal Centrum";"BU00370200";"2850";"1750";"2850";"3000";"3300";"3800";"2450";"3400"
"Zuid";"BU00370201";"3000";"1900";"2450";"2500";"3350";"3850";"2150";"3500"
"Noord";"BU00370202";"3750";"1700";"3600";".";"3650";"3900";"3450";"3850"
"Ceresdorp";"BU00370203";"3550";".";"3450";"3200";"3300";"3750";"3350";"3650"
"Wijk 03 Onstwedde";"WK003703";"3350";"2000";"2750";"2600";"3050";"3750";"2550";"3650"
"Onstwedde";"BU00370300";"3000";"2000";"2750";"2600";"2850";"3400";"2350";"3350"
"Holte";"BU00370301";"4300";".";".";".";"4800";"4150";".";"4300"
"Buitengebied-Noord";"BU00370308";"3950";".";".";".";".";"3950";"4750";"3850"
"Buitengebied-Zuid";"BU00370309";"4350";".";".";".";".";"4350";"4900";"4300"
"Wijk 04 Mussel";"WK003704";"3800";".";"2400";"2750";"3700";"4150";"2700";"4050"
"Mussel";"BU00370400";"3550";".";"2400";"2750";"3600";"4000";"2350";"3900"
"Kopstukken";"BU00370401";"3950";".";".";".";".";"3900";".";"3850"
"Vledderveen";"BU00370402";"4000";".";".";".";".";"4000";"3900";"4050"
"Verspreide huizen Mussel";"BU00370409";"5300";".";".";".";".";"5300";".";"5400"
"Wijk 05 Alteveer";"WK003705";"3600";".";"2750";"2750";"3100";"4050";"2800";"3950"
"Alteveer";"BU00370500";"3450";".";"2750";"2750";"3100";"3950";"2750";"3800"
"Verspreide huizen Alteveer";"BU00370509";"4250";".";".";".";".";"4250";".";"4400"
"Slochteren";"GM0040";"3500";"2000";"2800";"2800";"3350";"4000";"2650";"3800"
"Wijk 00 Slochteren-Kolham";"WK004000";"3250";"1300";"2450";"2500";"3200";"3900";"2400";"3650"
"Slochteren";"BU00400000";"2950";"1300";"2500";"2550";"3100";"3700";"2250";"3450"
"Kolham";"BU00400001";"3350";".";"2500";"2400";"3100";"4250";"2450";"3950"
"'s-Gravenschans en Ruiten";"BU00400002";"4000";".";".";".";".";"3950";".";"3800"
"Rengerslaan";"BU00400003";"3200";".";".";".";"3200";"3250";".";"3300"
"Knijpslaan";"BU00400004";"3650";".";".";".";"3700";"3600";"3550";"3650"
"Froombosch";"BU00400006";"3400";".";"2200";"2400";"3150";"3800";"2650";"3650"
"Verspr.h. ten oosten van Slochteren";"BU00400007";"4350";".";".";".";".";"4400";".";"4450"
"Verspreide huizen ten zuiden van Kolham";"BU00400008";"4050";".";".";".";"3250";".";".";"3950"
"Verspreide huizen in de Hooilandspolder";"BU00400009";"5150";".";".";".";".";"5050";".";"5350"
"Wijk 01 Schildwolde-Hellum";"WK004001";"3600";"1900";"2400";"2450";"3200";"4000";"2600";"3950"
"Schildwolde";"BU00400100";"3450";"1900";"2150";"2450";"3150";"4000";"2400";"3950"
"Hellum";"BU00400101";"3800";".";"3400";"2450";"3600";"3900";"3150";"3950"
"Meenteweg";"BU00400102";"3850";".";".";".";".";"3900";".";"3800"
"Verspr.h. ten noorden van Het Siep";"BU00400108";"4700";".";".";".";".";"4700";".";"4600"
"Verspreide huizen in De Zanden";"BU00400109";"4500";".";".";".";".";"4500";".";"4450"
"Wijk 02 Siddeburen";"WK004002";"3400";"2050";"2650";"2600";"3400";"3900";"2650";"3700"
"Siddeburen";"BU00400200";"3150";"2050";"2600";"2600";"3350";"3750";"2550";"3500"
"Oudeweg en Hoofdweg en Oostwolderweg";"BU00400201";"4950";".";".";".";".";"4950";".";"4900"
"Steendam";"BU00400203";"3450";".";".";".";"3600";"3450";"3300";"3500"
"Tjuchem";"BU00400204";"3850";".";".";".";"3650";"3950";"3550";"3900"
"Verspr.h. in het Siddebuursterveen";"BU00400208";"4400";".";".";".";".";"4350";".";"4150"
"Verspr.h. ten noorden van Siddeburen";"BU00400209";"4750";".";".";".";".";"4750";"4050";"4750"
"Wijk 03 Harkstede";"WK004003";"3700";"2150";"3350";"3600";"3700";"4150";"2950";"3950"
"Harkstede";"BU00400300";"3500";"2000";"3000";"3100";"3550";"4300";"2750";"3850"
"Scharmer";"BU00400301";"3800";"2600";"3650";"3400";"3600";"4100";"3200";"3900"
"Hamweg";"BU00400302";"3450";".";".";".";".";"3350";".";"3250"
"Borgweg (gedeeltelijk)";"BU00400304";"4150";".";".";".";"3850";"4150";"4200";"4100"
"Verspreide huizen ten oosten van Hamweg";"BU00400308";"3200";".";"2300";".";".";"3600";"2300";"3500"
"Verspreide huizen in het Westen";"BU00400309";"4950";".";"6150";"6650";"6200";"4250";"4650";"5100"
"Wijk 04 Overschild";"WK004004";"4050";".";".";".";"2900";"4100";"3200";"4150"
"Overschild";"BU00400400";"3600";".";".";".";"2900";"3700";"2900";"3700"
"Verspreide huizen Overschild";"BU00400409";"4600";".";".";".";".";"4600";"3700";"4700"
"Veendam";"GM0047";"3000";"1900";"2950";"3000";"3300";"3800";"2300";"3400"
"Wijk 00 Veendam-kern";"WK004700";"2850";"1900";"2850";"3050";"3250";"3700";"2250";"3250"
"Veendam-Centrum";"BU00470000";"2650";"1950";"2350";"2700";"3100";"3700";"2000";"3100"
"Veendam-Oude Ae";"BU00470001";"2700";"1800";"2750";"2800";"3450";"3550";"2200";"3250"
"Veendam-Middenweg en omgeving";"BU00470002";"3450";".";"2950";"2550";"3000";"3900";"2800";"3700"
"Veendam en omgeving station";"BU00470003";"2700";"1900";"2750";"2750";"3350";"3400";"2250";"2950"
"Veendam-Zuid";"BU00470004";"2200";"1750";"1750";".";"2750";"3250";"1750";"2850"
"Veendam-Sorghvliet";"BU00470005";"2950";"1900";"2950";"3150";"3200";"3900";"2400";"3250"
"Veendam-industriegebied";"BU00470006";"2500";".";"2350";"1750";".";".";"2250";"."
"Buitenwoel";"BU00470007";"3650";".";"3400";"3500";"3650";"4000";"2700";"3750"
"Wijk 01 Veendam-buitengebied";"WK004701";"3600";"2000";"3350";"2600";"3500";"3750";"2900";"3700"
"Borgercompagnie (gedeeltelijk)";"BU00470100";"3800";".";".";".";"3950";"3800";"3600";"3850"
"Ommelanderwijk";"BU00470101";"3500";"2000";"3250";"2600";"3450";"3800";"2700";"3700"
"Zuidwending";"BU00470102";"3600";".";".";".";"2800";"3650";"2800";"3650"
"Verspreide huizen";"BU00470109";"3650";".";".";".";".";"3500";"3400";"3600"
"Wijk 02 Wildervank";"WK004702";"3400";"2200";"3300";"2750";"3350";"3900";"2550";"3750"
"Wildervank";"BU00470200";"3050";"2050";"3100";"2700";"3200";"3600";"2400";"3450"
"Boven-Wildervank";"BU00470201";"3750";".";"3950";"4300";"3350";"3850";"3100";"3850"
"Bareveld";"BU00470202";"3150";".";"2950";"2650";"3650";"3400";"2650";"3650"
"Wildervanksterdallen";"BU00470203";"4050";".";".";".";".";"4050";".";"4200"
"Verspreide huizen";"BU00470209";"4400";"3000";"5250";".";"4050";"4600";"4200";"4400"
"Vlagtwedde";"GM0048";"3250";"2050";"2850";"2950";"3250";"3850";"2700";"3650"
"Wijk 00 Sellingen";"WK004800";"3300";"1550";"2400";"3200";"2800";"3600";"2650";"3500"
"Sellingen";"BU00480000";"3050";"1550";"2400";"3200";"2750";"3500";"2350";"3450"
"Laude";"BU00480001";"3450";".";".";".";".";"3450";".";"3300"
"Jipsinghuizen en Plaggenborg";"BU00480004";"3700";".";".";".";"2600";"3950";"4500";"3600"
"Leemdobben en Lammerweg";"BU00480006";"3650";".";".";".";".";"3600";".";"3700"
"Verspr.h. ten oosten van Ruiten A-kanaal";"BU00480008";"4200";".";".";".";".";"4200";"4500";"4200"
"Verspreide huizen Sellingen";"BU00480009";"3500";".";".";".";".";"3450";"4000";"3400"
"Wijk 01 Vlagtwedde";"WK004801";"3050";"1700";"2450";"2500";"2750";"3650";"2450";"3650"
"Vlagtwedde";"BU00480100";"2850";"1700";"2450";"2500";"2700";"3550";"2350";"3500"
"Wollinghuizen";"BU00480101";"3550";".";".";".";".";"3550";".";"3500"
"Vlagtwedder-Veldhuis";"BU00480102";"4100";".";".";".";".";"4150";".";"4150"
"Veele";"BU00480103";"4200";".";".";".";".";"4150";"3750";"4250"
"Ellersinghuizen";"BU00480104";"3700";".";".";".";".";"3850";".";"3700"
"Verspreide huizen Vlagtwedde";"BU00480109";"3600";".";".";".";".";"3550";"3400";"3600"
"Wijk 02 Bourtange";"WK004802";"3500";".";"2300";".";"3100";"3700";"3300";"3600"
"Bourtange";"BU00480200";"3150";".";"2300";".";"3000";"3400";"2850";"3300"
"Pallert";"BU00480201";"4150";".";".";".";".";"4150";".";"4100"
"Weite";"BU00480202";"4950";".";".";".";".";"4850";".";"5250"
"Stakenborg";"BU00480204";"3650";".";".";".";".";"3600";"3450";"3700"
"Verspreide huizen Hebrecht";"BU00480207";"3950";".";".";".";".";"3950";".";"3950"
"Verspreide huizen Bourtange";"BU00480208";"3900";".";".";".";".";"3900";".";"3150"
"Verspr.h. ten noorden van Vlagtwedde";"BU00480209";"3750";".";".";".";".";"3750";"3400";"3850"
"Wijk 03 Sellingerbeetse";"WK004803";"4050";".";".";".";"3600";"4150";"3950";"4050"
"Harpel";"BU00480300";"3950";".";".";".";".";"4150";".";"4100"
"Sellingerbeetse";"BU00480301";"4000";".";".";".";"3850";"4000";"4100";"3900"
"Jipsingboertange";"BU00480302";"3850";".";".";".";"3700";"3900";"4400";"3800"
"Verspr.h. tussen Harpel en Sellingerbeet";"BU00480309";"4550";".";".";".";".";"4600";"3900";"4700"
"Wijk 04 Ter Apel";"WK004804";"3200";"2150";"2950";"3050";"3400";"3950";"2750";"3650"
"Ter Apel";"BU00480400";"2950";"2150";"2650";"2700";"3250";"3900";"2450";"3500"
"Barnflair";"BU00480401";"4100";".";".";".";"3450";"4150";"4100";"4100"
"Ter Apelkanaal";"BU00480402";"4050";".";".";".";"3300";"4100";"3850";"4050"
"Ter Apel-West";"BU00480403";"3500";".";".";".";"3550";"3450";"3450";"3500"
"Jipsingboermussel en Zandberg";"BU00480404";"3350";".";"2800";"3050";"3100";"3900";"3000";"3450"
"Munnekemoer";"BU00480405";"4050";".";".";".";"3050";"4200";"2450";"4450"
